amount_requested,residence_rent_or_own,monthly_rent_amount,bank_account_direct_deposit,application_when,loan_duration,payment_ach,num_payments,payment_amount,amount_approved,duration_approved,address_zip,bank_routing_number,email_duration,residence_duration,bank_account_duration,payment_frequency,monthly_income_amount,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money,flgGood,monthly_income_after_rent,pays_rent,year_month,SAMPLE_WEIGHT
800,1,980,1,2010-12-22 16:14:57,8,1,13,77.39,500,6,84,324079555,1 year or more,1-2 years,1-2 years,Bi-weekly,2300,593,552,534,661,582,1,1320,1,2010-12,1.6666666666666665
500,0,1510,1,2010-12-22 17:52:58,5,1,10,92.17,500,5,84,324377516,1 year or more,3+ years,3+ years,Bi-weekly,3120,599,653,677,715,657,0,1610,1,2010-12,1.6666666666666665
500,1,0,1,2010-12-22 19:21:13,5,1,10,92.17,500,5,84,124001545,1 year or more,0-12 months,0-12 months,Bi-weekly,2250,766,577,627,685,614,1,2250,0,2010-12,1.6666666666666665
300,1,725,0,2010-12-22 20:25:22,8,1,12,50.42,300,6,84,default,1 year or more,1-2 years,3+ years,Semi-monthly,1500,623,588,633,680,625,1,775,1,2010-12,1.6666666666666665
600,0,500,1,2010-12-23 11:02:22,3,1,13,75.46,600,3,84,124002971,1 year or more,3+ years,3+ years,Weekly,3300,536,539,581,665,608,0,2800,1,2010-12,1.6666666666666665
800,1,150,1,2010-12-23 14:45:16,8,1,8,231.76,800,8,84,default,1 year or more,3+ years,3+ years,Monthly,2700,760,638,687,706,643,1,2550,1,2010-12,1.6666666666666665
800,1,325,1,2010-12-23 14:50:53,8,1,12,84.03,500,6,84,default,1 year or more,3+ years,3+ years,Semi-monthly,19392,478,576,586,680,631,0,19067,1,2010-12,1.6666666666666665
800,1,500,1,2010-12-24 07:47:09,5,1,5,193.91,500,5,84,default,1 year or more,3+ years,1-2 years,Monthly,3892,612,535,577,680,600,0,3392,1,2010-12,1.6666666666666665
800,1,750,1,2010-12-24 13:11:05,7,1,13,77.39,500,6,84,124002971,1 year or more,3+ years,3+ years,Bi-weekly,2176,392,563,591,667,614,0,1426,1,2010-12,1.6666666666666665
500,0,1500,1,2010-12-24 15:25:34,5,1,5,193.91,500,5,84,124001545,1 year or more,0-12 months,0-12 months,Monthly,3752,677,613,643,689,622,1,2252,1,2010-12,1.6666666666666665
500,0,1500,1,2010-12-24 15:25:34,5,1,5,193.91,500,5,84,124001545,1 year or more,0-12 months,0-12 months,Monthly,3752,677,613,643,689,622,1,2252,1,2010-12,1.6666666666666665
500,1,250,0,2010-12-26 16:06:43,5,1,21,44.01,500,5,84,default,1 year or more,0-12 months,3+ years,Weekly,1900,536,584,596,697,594,0,1650,1,2010-12,1.6666666666666665
600,1,550,1,2010-12-27 11:07:07,8,1,17,79.41,600,8,84,default,1 year or more,1-2 years,3+ years,Bi-weekly,2200,586,545,554,671,578,0,1650,1,2010-12,1.6666666666666665
750,1,0,1,2010-12-27 11:34:54,8,1,13,77.39,500,6,84,324377516,1 year or more,3+ years,1-2 years,Bi-weekly,1200,603,555,598,625,574,1,1200,0,2010-12,1.6666666666666665
300,1,400,1,2010-12-27 16:23:50,5,1,10,55.3,300,5,84,324377516,1 year or more,3+ years,1-2 years,Bi-weekly,1200,601,562,583,680,603,0,800,1,2010-12,1.6666666666666665
800,1,550,1,2010-12-27 17:32:10,3,1,6,138.48,500,3,84,124001545,1 year or more,3+ years,1-2 years,Semi-monthly,5400,623,505,556,680,581,0,4850,1,2010-12,1.6666666666666665
500,1,975,1,2010-12-28 08:17:52,5,1,10,94.7,500,5,84,default,1 year or more,3+ years,3+ years,Semi-monthly,3000,663,526,544,656,590,1,2025,1,2010-12,1.6666666666666665
800,1,0,1,2010-12-29 05:34:19,8,1,17,105.88,800,8,84,324377516,1 year or more,1-2 years,3+ years,Bi-weekly,1100,765,698,696,752,640,1,1100,0,2010-12,1.6666666666666665
600,1,450,1,2010-12-29 07:27:29,5,1,10,110.61,600,5,84,124000054,1 year or more,1-2 years,3+ years,Bi-weekly,2350,734,634,663,686,627,0,1900,1,2010-12,1.6666666666666665
800,1,400,1,2010-12-30 07:55:11,8,1,13,77.39,500,6,84,124002971,1 year or more,1-2 years,3+ years,Bi-weekly,1520,523,610,632,703,588,0,1120,1,2010-12,1.6666666666666665
500,1,650,1,2010-12-31 02:24:08,6,1,13,77.39,500,6,84,default,0-12 months,3+ years,0-12 months,Bi-weekly,1800,713,501,517,618,559,0,1150,1,2010-12,1.6666666666666665
800,1,1200,1,2010-12-31 23:36:16,3,1,6,136.0,500,3,84,124302150,1 year or more,0-12 months,1-2 years,Bi-weekly,3400,544,655,665,721,636,1,2200,1,2010-12,1.6666666666666665
500,1,0,1,2011-01-01 08:27:47,5,1,10,92.17,500,5,84,124002971,1 year or more,3+ years,1-2 years,Bi-weekly,1000,599,517,541,651,582,0,1000,0,2011-01,2.0
600,1,400,1,2011-01-01 10:13:29,6,1,26,38.26,500,6,84,124002971,0-12 months,0-12 months,0-12 months,Weekly,1120,523,526,572,680,592,0,720,1,2011-01,2.0
600,0,0,1,2011-01-01 16:18:49,5,1,10,92.17,500,5,84,124000054,1 year or more,3+ years,3+ years,Bi-weekly,2000,645,532,572,680,587,0,2000,0,2011-01,2.0
500,1,388,1,2011-01-03 09:58:03,5,1,5,193.91,500,5,84,124001545,1 year or more,3+ years,1-2 years,Monthly,2020,716,564,584,678,609,0,1632,1,2011-01,2.0
800,1,400,1,2011-01-03 10:56:44,8,1,12,84.03,500,6,84,124002971,1 year or more,1-2 years,1-2 years,Semi-monthly,800,710,561,640,692,581,1,400,1,2011-01,2.0
800,1,0,0,2011-01-03 12:16:16,6,1,12,84.03,500,6,84,124001545,1 year or more,1-2 years,0-12 months,Semi-monthly,2820,719,543,567,605,592,0,2820,0,2011-01,2.0
800,1,1050,1,2011-01-03 16:29:55,8,1,17,105.88,800,8,84,324079555,1 year or more,0-12 months,3+ years,Bi-weekly,2700,771,592,587,680,614,0,1650,1,2011-01,2.0
500,1,1150,1,2011-01-03 17:42:21,5,1,21,44.01,500,5,84,default,1 year or more,3+ years,3+ years,Weekly,2800,619,583,587,680,621,0,1650,1,2011-01,2.0
400,1,725,1,2011-01-03 18:59:20,6,1,6,137.4,400,6,84,124002971,1 year or more,0-12 months,3+ years,Monthly,1350,733,610,621,684,591,0,625,1,2011-01,2.0
600,1,665,1,2011-01-04 10:11:27,5,1,10,92.17,500,5,84,default,1 year or more,0-12 months,1-2 years,Bi-weekly,1800,573,515,522,656,582,0,1135,1,2011-01,2.0
800,0,0,1,2011-01-04 11:10:50,8,1,12,84.03,500,6,84,default,1 year or more,3+ years,3+ years,Semi-monthly,6000,601,552,589,680,578,1,6000,0,2011-01,2.0
500,0,420,0,2011-01-04 14:02:29,5,1,10,92.17,500,5,84,124000054,1 year or more,3+ years,3+ years,Bi-weekly,3200,645,507,536,632,571,0,2780,1,2011-01,2.0
500,1,625,1,2011-01-04 16:17:13,5,1,10,92.17,500,5,84,default,1 year or more,0-12 months,3+ years,Bi-weekly,2400,677,557,596,623,587,0,1775,1,2011-01,2.0
700,1,350,1,2011-01-05 07:50:58,5,1,10,92.17,500,5,84,default,1 year or more,3+ years,3+ years,Bi-weekly,1954,586,524,546,664,564,0,1604,1,2011-01,2.0
500,0,1143,1,2011-01-05 10:09:41,5,1,21,44.01,500,5,84,124002971,1 year or more,3+ years,3+ years,Weekly,3656,586,580,569,680,627,0,2513,1,2011-01,2.0
400,0,1431,1,2011-01-05 10:14:01,5,1,10,73.74,400,5,84,124302150,1 year or more,3+ years,3+ years,Bi-weekly,4236,538,577,597,680,628,0,2805,1,2011-01,2.0
400,1,500,0,2011-01-05 16:52:13,8,1,8,115.88,400,8,84,124000054,1 year or more,3+ years,1-2 years,Monthly,3100,425,612,656,714,622,0,2600,1,2011-01,2.0
800,0,0,1,2011-01-06 08:47:53,8,1,13,77.39,500,6,84,324079555,1 year or more,3+ years,3+ years,Bi-weekly,1800,614,576,577,680,617,0,1800,0,2011-01,2.0
500,1,500,1,2011-01-06 18:55:39,5,1,10,94.7,500,5,84,124002971,1 year or more,3+ years,3+ years,Semi-monthly,2800,645,520,530,623,594,0,2300,1,2011-01,2.0
600,1,0,1,2011-01-07 06:00:58,7,1,6,171.75,500,6,84,124002971,1 year or more,0-12 months,0-12 months,Monthly,1300,538,603,623,701,605,0,1300,0,2011-01,2.0
400,1,100,1,2011-01-07 09:44:25,5,1,10,73.74,400,5,84,324377516,1 year or more,1-2 years,3+ years,Bi-weekly,1300,594,584,638,708,576,0,1200,1,2011-01,2.0
600,1,350,1,2011-01-07 12:05:27,6,1,13,77.39,500,6,84,324377516,1 year or more,1-2 years,1-2 years,Bi-weekly,1200,645,501,544,582,526,0,850,1,2011-01,2.0
800,0,648,0,2011-01-08 05:10:20,8,1,13,77.39,500,6,84,default,1 year or more,3+ years,0-12 months,Bi-weekly,5000,541,578,571,680,608,0,4352,1,2011-01,2.0
300,1,200,1,2011-01-08 07:16:42,3,1,3,170.81,300,3,84,124302150,1 year or more,3+ years,1-2 years,Monthly,1487,568,538,545,680,590,1,1287,1,2011-01,2.0
300,1,200,1,2011-01-08 07:16:42,3,1,3,170.81,300,3,84,124302150,1 year or more,3+ years,1-2 years,Monthly,1487,568,538,545,680,590,0,1287,1,2011-01,2.0
700,1,800,1,2011-01-09 10:07:11,5,1,10,129.04,700,5,84,324377516,1 year or more,3+ years,3+ years,Bi-weekly,4400,763,573,596,680,617,0,3600,1,2011-01,2.0
400,1,100,1,2011-01-09 22:14:29,6,1,13,61.91,400,6,84,324377516,1 year or more,3+ years,3+ years,Bi-weekly,1160,765,599,643,671,635,1,1060,1,2011-01,2.0
800,1,425,1,2011-01-10 11:12:37,6,1,13,77.39,500,6,84,default,1 year or more,0-12 months,0-12 months,Bi-weekly,2520,734,578,600,670,605,1,2095,1,2011-01,2.0
600,0,1600,1,2011-01-10 11:55:51,3,1,3,284.69,500,3,84,default,1 year or more,3+ years,3+ years,Monthly,4837,427,623,652,704,638,1,3237,1,2011-01,2.0
800,1,1250,1,2011-01-10 13:56:22,6,1,12,84.03,500,6,84,default,1 year or more,1-2 years,1-2 years,Semi-monthly,6134,577,628,644,685,621,1,4884,1,2011-01,2.0
800,0,1052,1,2011-01-10 17:23:46,8,1,17,105.88,800,8,84,124001545,0-12 months,3+ years,1-2 years,Bi-weekly,2082,557,548,581,675,613,1,1030,1,2011-01,2.0
800,1,685,1,2011-01-10 20:16:56,8,1,13,77.39,500,6,84,default,1 year or more,1-2 years,1-2 years,Bi-weekly,3288,766,501,514,597,564,1,2603,1,2011-01,2.0
800,0,603,1,2011-01-11 10:55:57,8,1,12,84.03,500,6,84,124302150,1 year or more,3+ years,0-12 months,Semi-monthly,2200,619,570,606,680,607,1,1597,1,2011-01,2.0
800,0,550,1,2011-01-11 18:55:07,8,1,8,231.76,800,8,84,324377516,0-12 months,3+ years,3+ years,Monthly,1500,749,555,584,671,613,0,950,1,2011-01,2.0
500,1,200,1,2011-01-11 21:34:07,5,1,10,92.17,500,5,84,124001545,1 year or more,1-2 years,1-2 years,Bi-weekly,1456,544,555,587,680,584,0,1256,1,2011-01,2.0
500,0,0,0,2011-01-12 09:18:08,5,1,5,193.91,500,5,84,324079555,1 year or more,3+ years,3+ years,Monthly,800,616,566,588,680,628,1,800,0,2011-01,2.0
800,0,1309,1,2011-01-12 13:29:15,8,1,13,77.39,500,6,84,124001545,1 year or more,3+ years,1-2 years,Bi-weekly,2478,601,578,629,669,614,1,1169,1,2011-01,2.0
800,1,800,1,2011-01-12 20:49:55,8,1,17,105.88,800,8,84,default,1 year or more,3+ years,3+ years,Bi-weekly,1920,568,533,564,663,599,0,1120,1,2011-01,2.0
500,1,517,1,2011-01-13 07:30:57,6,1,13,77.39,500,6,84,124002971,1 year or more,1-2 years,0-12 months,Bi-weekly,1280,645,501,548,675,567,0,763,1,2011-01,2.0
800,1,0,0,2011-01-13 08:41:36,8,1,8,231.76,800,8,84,default,1 year or more,0-12 months,0-12 months,Monthly,2200,557,592,561,680,611,0,2200,0,2011-01,2.0
800,0,1900,1,2011-01-13 21:09:32,5,1,10,147.47,800,5,84,124001545,1 year or more,3+ years,3+ years,Bi-weekly,3982,641,626,674,734,611,0,2082,1,2011-01,2.0
700,1,0,1,2011-01-13 23:35:26,3,1,6,190.4,700,3,84,124000054,1 year or more,3+ years,3+ years,Bi-weekly,3952,639,583,631,700,616,1,3952,0,2011-01,2.0
400,1,525,1,2011-01-14 03:19:05,6,1,12,67.22,400,6,84,default,0-12 months,3+ years,0-12 months,Semi-monthly,1600,713,501,501,600,563,1,1075,1,2011-01,2.0
800,1,0,1,2011-01-14 09:19:31,8,1,6,171.75,500,6,84,124001545,1 year or more,3+ years,3+ years,Monthly,2600,545,552,592,677,613,0,2600,0,2011-01,2.0
500,1,0,0,2011-01-14 10:16:00,8,1,6,171.75,500,6,84,default,1 year or more,1-2 years,0-12 months,Monthly,300,539,587,642,690,602,0,300,0,2011-01,2.0
500,0,2000,1,2011-01-14 11:11:57,8,1,13,77.39,500,6,84,124001545,1 year or more,3+ years,3+ years,Bi-weekly,5000,581,591,593,680,621,0,3000,1,2011-01,2.0
600,0,900,1,2011-01-14 11:52:55,8,1,8,173.82,600,8,84,124002971,1 year or more,0-12 months,3+ years,Monthly,3007,780,608,704,740,617,1,2107,1,2011-01,2.0
500,1,1100,1,2011-01-15 09:31:06,6,1,13,77.39,500,6,84,124000054,1 year or more,0-12 months,3+ years,Bi-weekly,4240,677,632,640,597,621,0,3140,1,2011-01,2.0
800,0,1042,1,2011-01-16 11:05:23,8,1,17,105.88,800,8,84,default,1 year or more,3+ years,3+ years,Bi-weekly,3280,550,573,589,680,625,0,2238,1,2011-01,2.0
800,1,0,1,2011-01-16 20:12:45,8,1,16,113.77,800,8,84,124002971,1 year or more,3+ years,3+ years,Semi-monthly,3200,735,597,673,725,624,1,3200,0,2011-01,2.0
600,1,0,1,2011-01-16 20:44:29,8,1,13,77.39,500,6,84,124001545,1 year or more,3+ years,0-12 months,Bi-weekly,2774,601,586,645,648,622,1,2774,0,2011-01,2.0
700,1,1100,1,2011-01-17 13:47:17,8,1,12,84.03,500,6,84,324377516,0-12 months,0-12 months,3+ years,Semi-monthly,3200,763,579,615,692,602,1,2100,1,2011-01,2.0
800,1,600,0,2011-01-18 12:11:56,8,1,12,84.03,500,6,84,124001545,1 year or more,0-12 months,1-2 years,Semi-monthly,3600,544,575,560,607,594,1,3000,1,2011-01,2.0
500,0,400,1,2011-01-18 15:41:34,5,1,10,92.17,500,5,84,124000054,1 year or more,3+ years,3+ years,Bi-weekly,2600,660,592,602,680,643,0,2200,1,2011-01,2.0
800,1,200,1,2011-01-18 16:24:17,8,1,13,77.39,500,6,84,324079555,1 year or more,0-12 months,3+ years,Bi-weekly,1360,719,525,538,627,585,0,1160,1,2011-01,2.0
800,0,1000,1,2011-01-19 08:28:28,6,1,13,123.82,800,6,84,124000054,0-12 months,3+ years,3+ years,Bi-weekly,4820,600,623,651,693,637,1,3820,1,2011-01,2.0
800,1,0,0,2011-01-19 13:12:06,6,1,13,123.82,800,6,84,124002971,1 year or more,3+ years,0-12 months,Bi-weekly,8000,612,568,598,680,612,0,8000,0,2011-01,2.0
500,0,1100,1,2011-01-19 14:02:40,5,1,10,92.17,500,5,84,324079555,1 year or more,3+ years,3+ years,Bi-weekly,1230,663,596,648,676,627,0,130,1,2011-01,2.0
500,1,800,1,2011-01-19 14:14:27,8,1,13,77.39,500,6,84,default,0-12 months,1-2 years,3+ years,Bi-weekly,1700,583,592,646,678,613,1,900,1,2011-01,2.0
300,1,600,1,2011-01-19 18:12:12,8,1,17,39.7,300,8,83,default,1 year or more,3+ years,3+ years,Bi-weekly,1500,530,557,615,653,601,0,900,1,2011-01,2.0
500,0,386,1,2011-01-19 18:32:36,5,1,5,193.91,500,5,83,default,1 year or more,3+ years,0-12 months,Monthly,1000,613,516,545,658,592,1,614,1,2011-01,2.0
400,0,976,1,2011-01-19 23:35:40,5,1,10,73.74,400,5,84,124002971,1 year or more,3+ years,3+ years,Bi-weekly,1384,538,611,620,680,644,0,408,1,2011-01,2.0
800,1,425,1,2011-01-20 16:06:54,5,1,10,92.17,500,5,83,default,1 year or more,3+ years,3+ years,Bi-weekly,5200,645,519,550,641,593,0,4775,1,2011-01,2.0
800,0,325,1,2011-01-20 17:12:44,8,1,17,105.88,800,8,83,124103799,1 year or more,1-2 years,0-12 months,Bi-weekly,1070,541,577,614,578,617,0,745,1,2011-01,2.0
400,0,479,1,2011-01-21 13:33:52,5,1,5,155.12,400,5,83,123103729,1 year or more,3+ years,3+ years,Monthly,1879,768,544,584,680,609,1,1400,1,2011-01,2.0
350,1,250,1,2011-01-21 14:47:34,5,1,5,135.73,350,5,83,default,0-12 months,0-12 months,3+ years,Monthly,670,645,503,544,629,550,0,420,1,2011-01,2.0
500,1,605,0,2011-01-22 09:00:03,5,1,10,92.17,500,5,84,default,1 year or more,3+ years,3+ years,Bi-weekly,1378,645,568,633,682,625,1,773,1,2011-01,2.0
500,0,1375,1,2011-01-22 09:04:59,5,1,10,92.17,500,5,84,default,1 year or more,3+ years,3+ years,Bi-weekly,2000,546,588,602,680,624,0,625,1,2011-01,2.0
500,1,200,1,2011-01-22 13:37:51,5,1,10,94.7,500,5,84,324377516,1 year or more,3+ years,0-12 months,Semi-monthly,8000,541,588,623,661,610,1,7800,1,2011-01,2.0
800,1,750,1,2011-01-22 21:47:58,8,1,6,171.75,500,6,83,default,1 year or more,1-2 years,3+ years,Monthly,3212,716,501,521,668,561,0,2462,1,2011-01,2.0
500,1,0,1,2011-01-23 13:37:21,5,1,10,92.17,500,5,83,124103799,1 year or more,3+ years,1-2 years,Bi-weekly,1300,562,612,624,696,597,0,1300,0,2011-01,2.0
400,0,1650,1,2011-01-23 13:39:47,5,1,10,73.74,400,5,84,default,1 year or more,3+ years,3+ years,Bi-weekly,5800,760,673,721,752,637,1,4150,1,2011-01,2.0
700,1,630,1,2011-01-23 19:25:36,8,1,17,92.64,700,8,84,324377516,1 year or more,0-12 months,3+ years,Bi-weekly,1800,523,564,616,657,591,0,1170,1,2011-01,2.0
500,1,500,0,2011-01-24 08:53:22,6,1,13,77.39,500,6,83,default,1 year or more,3+ years,3+ years,Bi-weekly,1920,586,521,540,679,584,1,1420,1,2011-01,2.0
800,0,1800,1,2011-01-24 09:22:38,8,1,17,105.88,800,8,84,124001545,1 year or more,3+ years,0-12 months,Bi-weekly,3794,661,570,576,680,613,1,1994,1,2011-01,2.0
400,0,897,0,2011-01-24 09:43:23,3,1,6,110.78,400,3,84,324377516,1 year or more,3+ years,3+ years,Semi-monthly,4400,754,608,640,686,623,1,3503,1,2011-01,2.0
400,0,897,0,2011-01-24 09:43:23,3,1,6,110.78,400,3,84,324377516,1 year or more,3+ years,3+ years,Semi-monthly,4400,754,608,640,686,623,1,3503,1,2011-01,2.0
500,0,1200,1,2011-01-24 10:16:40,4,1,8,108.48,500,4,84,default,1 year or more,3+ years,3+ years,Bi-weekly,2720,586,595,632,700,621,0,1520,1,2011-01,2.0
800,0,916,1,2011-01-24 13:49:13,5,1,10,92.17,500,5,84,324079555,1 year or more,3+ years,3+ years,Bi-weekly,5340,732,551,553,679,600,0,4424,1,2011-01,2.0
500,0,187,1,2011-01-24 15:34:48,5,1,10,94.7,500,5,84,124002971,1 year or more,3+ years,0-12 months,Semi-monthly,1480,530,607,655,710,589,1,1293,1,2011-01,2.0
800,0,570,1,2011-01-24 17:13:32,8,1,13,77.39,500,6,83,124103799,1 year or more,3+ years,3+ years,Bi-weekly,2650,560,586,604,680,640,0,2080,1,2011-01,2.0
600,0,876,1,2011-01-25 07:32:39,5,1,10,92.17,500,5,83,default,1 year or more,3+ years,3+ years,Bi-weekly,4300,669,516,545,680,573,1,3424,1,2011-01,2.0
600,0,756,1,2011-01-25 14:42:49,5,1,5,193.91,500,5,84,324079555,0-12 months,3+ years,3+ years,Monthly,4280,539,568,590,680,611,0,3524,1,2011-01,2.0
700,1,1050,1,2011-01-25 15:06:48,5,1,5,271.47,700,5,84,324377516,1 year or more,0-12 months,3+ years,Monthly,2795,713,594,647,665,626,0,1745,1,2011-01,2.0
300,1,312,1,2011-01-25 18:39:07,3,1,6,81.6,300,3,83,default,1 year or more,0-12 months,1-2 years,Bi-weekly,1900,638,552,586,603,580,1,1588,1,2011-01,2.0
300,1,879,0,2011-01-25 18:57:56,6,1,13,46.43,300,6,84,124001545,1 year or more,0-12 months,0-12 months,Bi-weekly,2390,536,526,501,649,575,0,1511,1,2011-01,2.0
500,0,785,1,2011-01-25 23:03:32,5,1,5,193.91,500,5,83,default,1 year or more,3+ years,3+ years,Monthly,2450,616,597,646,683,626,1,1665,1,2011-01,2.0
500,1,650,1,2011-01-26 03:42:41,6,1,12,84.03,500,6,83,124103799,1 year or more,3+ years,3+ years,Semi-monthly,4450,542,562,565,680,603,1,3800,1,2011-01,2.0
800,1,1600,0,2011-01-26 10:19:00,5,1,10,151.51,800,5,84,124302150,1 year or more,3+ years,3+ years,Semi-monthly,3000,582,645,685,733,660,1,1400,1,2011-01,2.0
500,0,1200,1,2011-01-26 11:02:01,5,1,10,92.17,500,5,84,default,1 year or more,3+ years,3+ years,Bi-weekly,2786,568,578,565,680,616,0,1586,1,2011-01,2.0
400,0,0,1,2011-01-26 15:32:04,8,1,8,115.88,400,8,83,124103799,1 year or more,3+ years,3+ years,Monthly,1334,568,612,660,709,639,1,1334,0,2011-01,2.0
700,1,0,1,2011-01-26 22:39:10,8,1,13,77.39,500,6,84,default,1 year or more,3+ years,1-2 years,Bi-weekly,1600,506,532,563,680,597,0,1600,0,2011-01,2.0
800,1,300,1,2011-01-27 08:14:56,8,1,13,77.39,500,6,84,default,1 year or more,3+ years,3+ years,Bi-weekly,2200,664,520,565,621,570,0,1900,1,2011-01,2.0
700,1,1395,0,2011-01-28 08:36:23,5,1,10,92.17,500,5,84,124002971,1 year or more,1-2 years,0-12 months,Bi-weekly,6000,601,600,631,663,616,0,4605,1,2011-01,2.0
300,1,500,1,2011-01-28 09:18:05,8,1,16,42.66,300,8,84,124002971,1 year or more,3+ years,0-12 months,Semi-monthly,3350,601,534,555,666,584,1,2850,1,2011-01,2.0
800,1,200,1,2011-01-28 09:31:12,8,1,17,105.88,800,8,83,124000054,1 year or more,3+ years,3+ years,Bi-weekly,3544,613,551,592,680,608,0,3344,1,2011-01,2.0
300,0,0,0,2011-01-28 10:09:33,5,1,5,116.34,300,5,84,default,1 year or more,3+ years,3+ years,Monthly,753,536,590,634,668,621,1,753,0,2011-01,2.0
600,1,600,1,2011-01-28 10:26:48,8,1,13,77.39,500,6,84,124002971,1 year or more,1-2 years,1-2 years,Bi-weekly,2200,497,553,590,613,595,0,1600,1,2011-01,2.0
800,1,680,0,2011-01-28 13:22:52,8,1,17,105.88,800,8,84,default,1 year or more,0-12 months,1-2 years,Bi-weekly,1400,523,579,602,672,599,0,720,1,2011-01,2.0
800,1,0,1,2011-01-29 10:54:33,8,1,13,77.39,500,6,84,default,1 year or more,0-12 months,3+ years,Bi-weekly,3200,601,552,601,597,571,0,3200,0,2011-01,2.0
300,0,786,1,2011-01-29 12:58:19,8,1,17,39.7,300,8,84,324377516,1 year or more,3+ years,3+ years,Bi-weekly,2100,741,574,596,680,629,1,1314,1,2011-01,2.0
700,1,780,1,2011-01-29 16:23:13,6,1,6,240.46,700,6,84,default,1 year or more,3+ years,3+ years,Monthly,3200,601,618,613,663,627,0,2420,1,2011-01,2.0
800,1,850,0,2011-01-30 16:17:09,6,1,6,171.75,500,6,83,default,1 year or more,1-2 years,0-12 months,Monthly,2600,620,521,543,672,597,1,1750,1,2011-01,2.0
800,1,900,1,2011-01-30 20:17:29,6,1,13,123.82,800,6,84,124001545,1 year or more,3+ years,3+ years,Bi-weekly,2600,559,556,567,635,611,1,1700,1,2011-01,2.0
500,0,1200,1,2011-01-31 10:42:01,5,1,10,94.7,500,5,57,default,1 year or more,3+ years,1-2 years,Semi-monthly,1880,596,580,569,680,613,0,680,1,2011-01,2.0
800,0,600,1,2011-01-31 16:58:41,8,1,17,105.88,800,8,84,124001545,1 year or more,3+ years,0-12 months,Bi-weekly,2000,751,560,624,624,621,0,1400,1,2011-01,2.0
800,1,1100,1,2011-01-31 17:04:46,5,1,10,147.47,800,5,84,124002971,1 year or more,3+ years,3+ years,Bi-weekly,3280,661,624,667,679,641,0,2180,1,2011-01,2.0
500,0,850,1,2011-01-31 17:26:37,6,1,13,77.39,500,6,57,default,1 year or more,3+ years,3+ years,Bi-weekly,1250,336,586,579,680,628,0,400,1,2011-01,2.0
800,0,750,1,2011-02-01 13:00:11,8,1,16,113.77,800,8,84,124302150,1 year or more,3+ years,1-2 years,Semi-monthly,1100,530,549,548,680,619,1,350,1,2011-02,2.333333333333333
800,0,750,1,2011-02-01 17:59:57,8,1,8,231.76,800,8,83,default,1 year or more,3+ years,3+ years,Monthly,3113,507,602,638,668,636,0,2363,1,2011-02,2.333333333333333
400,1,350,0,2011-02-02 07:35:21,6,1,6,137.4,400,6,83,default,1 year or more,1-2 years,0-12 months,Monthly,3200,655,595,625,692,622,0,2850,1,2011-02,2.333333333333333
500,1,1000,1,2011-02-02 08:54:05,6,1,13,77.39,500,6,84,324377516,1 year or more,0-12 months,3+ years,Bi-weekly,1500,565,613,636,644,593,1,500,1,2011-02,2.333333333333333
600,1,100,1,2011-02-02 14:29:03,6,1,13,92.87,600,6,84,default,1 year or more,3+ years,3+ years,Bi-weekly,2000,615,594,613,680,632,1,1900,1,2011-02,2.333333333333333
300,0,0,1,2011-02-02 15:16:08,3,1,6,81.6,300,3,83,default,1 year or more,3+ years,0-12 months,Bi-weekly,1600,530,555,616,650,610,0,1600,0,2011-02,2.333333333333333
600,1,550,1,2011-02-02 18:15:05,5,1,10,94.7,500,5,83,default,1 year or more,3+ years,0-12 months,Semi-monthly,2060,586,560,564,666,613,0,1510,1,2011-02,2.333333333333333
300,1,500,1,2011-02-03 07:02:01,3,1,3,170.81,300,3,83,123103729,1 year or more,1-2 years,1-2 years,Monthly,3026,732,519,550,661,601,0,2526,1,2011-02,2.333333333333333
500,0,1033,1,2011-02-03 09:48:10,6,1,13,77.39,500,6,83,default,1 year or more,3+ years,3+ years,Bi-weekly,2600,566,527,560,680,576,1,1567,1,2011-02,2.333333333333333
500,1,0,1,2011-02-03 11:20:21,5,1,10,92.17,500,5,84,124000054,1 year or more,0-12 months,0-12 months,Bi-weekly,1032,486,546,592,639,583,0,1032,0,2011-02,2.333333333333333
500,1,300,1,2011-02-03 12:15:05,6,1,6,171.75,500,6,83,123103729,1 year or more,3+ years,3+ years,Monthly,2777,713,530,544,643,590,1,2477,1,2011-02,2.333333333333333
300,0,0,1,2011-02-03 12:27:37,6,1,13,46.43,300,6,83,124103799,1 year or more,3+ years,0-12 months,Bi-weekly,1324,642,528,517,654,595,1,1324,0,2011-02,2.333333333333333
800,1,675,1,2011-02-03 12:51:06,3,1,6,136.0,500,3,84,124002971,1 year or more,0-12 months,3+ years,Bi-weekly,3000,536,582,609,654,602,0,2325,1,2011-02,2.333333333333333
300,1,680,1,2011-02-03 13:01:27,4,1,8,65.09,300,4,83,default,1 year or more,0-12 months,1-2 years,Bi-weekly,1300,521,615,669,724,590,0,620,1,2011-02,2.333333333333333
500,0,2100,0,2011-02-03 14:44:23,3,1,6,138.48,500,3,84,124001545,1 year or more,3+ years,1-2 years,Semi-monthly,5610,660,577,587,680,612,0,3510,1,2011-02,2.333333333333333
